"","playerId","position.x","rec","recYds","recTds","rushYds","rushTds","fumbles","returnYds","analyst.x","player.x","player.y","position.y","team","opponent","depthChart","esbid","position","analyst.y","points"
"1","1032","WR",5.9,73.1,0.8,2.6,0.1,0,0.9,18,"Jordy Nelson","Jordy Nelson","WR","GB","SEA","1","NEL517441","WR",18,14.7975
"2","1581","WR",3.9,61.6,0.2,0.4,0,0,1.9,18,"DeSean Jackson","DeSean Jackson","WR","TB","@MIA","1","JAC127681","WR",18,8.94
"3","222","WR",1.1,16.4,0,0,0,0,7.4,18,"Harry Douglas","Harry Douglas","WR","TEN","OAK","3","DOU372712","WR",18,2.05
"4","2346","WR",4.7,59.1,0.3,0,0,0,3.1,18,"Pierre Garcon","Pierre Garcon","WR","SF","CAR","1","GAR115573","WR",18,9.1875
"5","238498","WR",5.6,68.3,0.2,2.7,0,0.1,11.9,18,"Julian Edelman","Julian Edelman","WR","NE","KC","6","EDE425791","WR",18,9.7075
"6","2495159","WR",0.2,1.5,0.1,0,0,0,41.7,18,"Dwayne Harris","Dwayne Harris","WR","NYG","@DAL","2","HAR376781","WR",18,0.7875
"7","2495189","WR",2.9,30.1,0.1,0,0,0,11,18,"Jeremy Kerley","Jeremy Kerley","WR","SF","CAR","2","KER321479","WR",18,4.3625
"8","2495331","WR",1.1,15.3,0.1,0,0,0,1.2,18,"Aldrick Robinson","Aldrick Robinson","WR","SF","CAR","2","ROB365875","WR",18,2.5125
"9","2495448","WR",4.3,51.4,0.4,2.9,0,0,3.4,18,"Randall Cobb","Randall Cobb","WR","GB","SEA","1","COB365535","WR",18,9.115
"10","2495450","WR",5.5,78.3,0.5,0.4,0,0,0,18,"A.J. Green","A.J. Green","WR","CIN","BAL","1","GRE034604","WR",18,12.8275
"11","2495453","WR",0.7,6.8,0.1,0.1,0,0,5.1,18,"Andre Holmes","Andre Holmes","WR","BUF","NYJ","1","HOL497389","WR",18,1.46
"12","2495454","WR",5.4,85,0.4,0,0,0,0,18,"Julio Jones","Julio Jones","WR","ATL","@CHI","1","JON640315","WR",18,13.025
"13","2495459","WR",2.1,22.8,0.1,0.2,0,0,4.3,18,"Torrey Smith","Torrey Smith","WR","PHI","@WAS","1","SMI344958","WR",18,3.47
"14","2495893","WR",4.5,52.5,0.4,0.6,0,0,0,18,"Brandon Marshall","Brandon Marshall","WR","NYG","@DAL","1","MAR370922","WR",18,9.0225
"15","2505587","WR",3,36.2,0.3,0.3,0,0,7.9,18,"Anquan Boldin","Anquan Boldin","WR","BUF","NYJ","1","BOL283010","WR",18,6.355
"16","2506106","WR",6.6,65.4,0.3,0.2,0,0.1,0,18,"Larry Fitzgerald","Larry Fitzgerald","WR","ARI","@DET","1","FIT437493","WR",18,9.695
"17","2507166","WR",3.7,43.3,0.2,3.6,0,0.1,20.2,18,"Ted Ginn","Ted Ginn","WR","NO","@MIN","NULL","GIN403290","WR",18,6.6725
"18","2507763","WR",3.7,49.6,0.2,1.2,0,0,0,18,"Mike Wallace","Mike Wallace","WR","BAL","@CIN","1","WAL468678","WR",18,7.52
"19","2507855","WR",1.5,22.4,0,0,0,0,6.3,18,"Victor Cruz","Victor Cruz","WR","CHI","ATL","1","CRU827288","WR",18,2.8
"20","2508061","WR",7.2,97,0.7,1.3,0,0.1,11,18,"Antonio Brown","Antonio Brown","WR","PIT","@CLE","1","BRO000001","WR",18,16.155
"21","2508097","WR",1.4,14.1,0,0,0,0,0,18,"Andrew Hawkins","Andrew Hawkins","WR","FA","Bye","2","HAW100447","WR",18,1.7625
"22","2530515","WR",2.7,41.5,0.2,0.3,0,0,2.9,18,"Chris Hogan","Chris Hogan","WR","NE","KC","2","HOG008552","WR",18,6.4175
"23","2530660","WR",1.2,14.3,0,0,0,0,7.1,18,"Kamar Aiken","Kamar Aiken","WR","IND","@LA","2","AIK246111","WR",18,1.7875
"24","2530700","WR",2.7,37.8,0.2,0,0,0,0,18,"Dontrelle Inman","Dontrelle Inman","WR","LAC","@DEN","2","INM264861","WR",18,5.925
"25","2530747","WR",5.9,72.7,0.6,0.5,0,0,0,18,"Doug Baldwin","Doug Baldwin","WR","SEA","@GB","1","BAL312014","WR",18,12.7375
"26","2531049","WR",0.4,4.4,0,0,0,0,23.4,18,"Chris Matthews","Chris Matthews","WR","BAL","@CIN","5","MAT534950","WR",18,0.55
"27","2531332","WR",5.3,78.8,0.3,0.2,0,0,1.3,18,"Terrelle Pryor","Terrelle Pryor","WR","WAS","PHI","1","PRY474541","WR",18,11.67
"28","2532790","WR",2.2,31.2,0.1,0,0,0.2,7.2,18,"Travis Benjamin","Travis Benjamin","WR","LAC","@DEN","9","BEN162218","WR",18,3.9
"29","2532865","WR",5.6,91,0.4,0,0,0,0.7,18,"T.Y. Hilton","T.Y. Hilton","WR","IND","@LA","NULL","HIL775449","WR",18,13.775
"30","2532884","WR",4.6,66.2,0.1,0,0,0,0,18,"Marvin Jones","Marvin Jones","WR","DET","ARI","1","JON601697","WR",18,8.875
"31","2532887","WR",3.4,42,0.2,0.2,0,0,7.4,18,"Jermaine Kearse","Jermaine Kearse","WR","SEA","@GB","2","KEA511674","WR",18,6.47
"32","2532903","WR",3.2,46.7,0.5,0,0,0,0,18,"Rishard Matthews","Rishard Matthews","WR","TEN","OAK","1","MAT576281","WR",18,8.8375
"33","2532933","WR",2,25.1,0,0,0,0,0,18,"Brian Quick","Brian Quick","WR","WAS","PHI","2","QUI043372","WR",18,3.1375
"34","2532977","WR",1.8,20.8,0.1,1.2,0,0.1,10.3,18,"Kendall Wright","Kendall Wright","WR","CHI","ATL","2","WRI486076","WR",18,3.02
"35","2532978","WR",2.8,29.5,0,0.1,0,0,13,18,"Jarius Wright","Jarius Wright","WR","MIN","NO","2","WRI391959","WR",18,3.6975
"36","2533039","WR",5.1,73.2,0.3,0.3,0,0,2.1,18,"Alshon Jeffery","Alshon Jeffery","WR","PHI","@WAS","1","JEF498860","WR",18,10.98
"37","2533040","WR",4.3,47.5,0.4,1.3,0,0,0.8,18,"Mohamed Sanu","Mohamed Sanu","WR","ATL","@CHI","1","SAN808447","WR",18,8.4675
